id,slug,title
1,100-jours-avant-ta-mort,
6,20th-century-boys,
11,66666-years-advent-of-the-dark-mage,
17,99-reinforced-wood-stick,
18,a-barbarian-was-admitted-to-the-academy,
19,a-barbarians-adventure-in-a-fantasy-world,
27,a-dragonslayers-peerless-regression,
31,a-mountain-of-corpses-a-sea-of-blood,
33,a-rank-party-wo-ridatsu-shita-ore-wa-moto-oshiego-tachi-to-meikyuu-shinbu-wo-mezasu,
39,absolute-dominion,
41,absolute-necromancer,
42,absolute-regression,
43,absolute-sword-sense,
44,academys-genius-swordmaster,
48,ace-attorney,
49,ace-of-diamond,
50,actually-i-am,
51,adabana,
52,adachi-to-shimamura,
53,adventure-time,
54,afro-samurai,
55,afterlife-inn-cooking,
56,aggretsuko,
57,aharen-san-wa-hakarenai,
58,ahiru-no-sora,
59,aho-girl,
60,ai-no-idenshi,
61,air-gear,
62,ajin,
63,akame-ga-kill,
64,akane-banashi,
65,akashic-records,
66,akatsuki-no-yona,
67,akebi-chan-no-sailor-fuku,
68,akiba-maid-war,
69,akira,
70,akudama-drive,
71,akuma-no-riddle,
72,akuyaku-reijou-tensei-ojisan,
73,akuyaku-reijou-wa-ringoku-no-outaishi-ni-dekiai-sareru,
74,alderamin-on-the-sky,
75,aldnoah-zero,
76,alice-and-zoroku,
77,alice-in-borderland,
78,alice-in-borderland-retry,
79,alice-in-borderlands,
80,all-my-alter-egos-are-tycoons,
81,all-of-us-are-dead,
82,all-out,
83,all-you-need-is-kill,
84,almachan-wa-kazoku-ni-naritai,
85,am-i-actually-the-strongest,
86,amaama-to-inazuma,
87,amagami-san-chi-no-enmusubi,
88,amagami-ss,
89,amagi-brillant-park,
90,ame-to-kimi-to,
91,ameku-takao-no-suiri-karte,
92,amnesia,
93,amour-sucre,
94,amphibia,
95,an-archdemons-dilemma-how-to-love-your-elf-bride,
96,angel-beats,
97,angel-voice,
98,angels-of-death,
99,anime-de-wakaru-shinryounaika,
100,anne-shirley,
101,ano-natsu-de-matteru,
102,anohana,
103,another,
104,anti-gods-dragon-system,
105,ao-ashi,
106,ao-chan-cant-study,
107,ao-haru-ride,
108,aoharu-x-kikanjuu,
109,aoi-hana,
110,apocalypse-hotel,
111,apocalyptic-thief,
112,apotheosis,
113,appare-ranman,
114,apres-la-pluie,
115,araburu-kisetsu,
116,arafou-otoko-no-isekai-tsuuhan,
117,arakawa-under-the-bridge,
118,arata-kangatari,
119,arcana-famiglia,
120,arcane,
121,arcane-sniper,
122,archmage-streamer,
123,archmage-transcending-through-regression,
124,are-you-lost,
125,area-d,
126,arifureta,
127,arknights,
128,arne-no-jikenbo,
129,arrietty-le-petit-monde-des-chapardeurs,
130,arte,
131,aru-majo-ga-shinu-made,
132,as-miss-beelzebub-likes-it,
133,asadora,
134,asagao-to-kase-san,
135,ascendance-of-a-bookworm,
136,ascension,
137,ashita-no-joe,
138,asobi-asobase,
139,assassination-classroom,
140,assassins-pride,
141,asteroid-in-love,
142,astro-note,
143,astro-royale,
144,asura,
145,atelier-ryza,
146,atri-my-dear-moments,
147,aura-koga-maryuins-last-war,
148,avatar-le-dernier-maitre-de-l-air,
149,ayaka,
150,ayakashi-triangle,
151,ayashimon,
152,azumanga-daioh,
153,azur-et-asmar,
154,azur-lane,
155,b-the-beginning,
156,baby-steps,
157,baccano,
158,back-street-girls,
159,bad-ending-maker,
160,bad-girl,
161,baek-xx,
162,baka-to-test-to-shoukanjuu,
163,baki,
164,bakuman,
165,bakuten,
166,ballpark-de-tsukamaete,
167,ballroom-e-youkoso,
168,banana-fish,
169,banished-from-the-heros-party,
170,barakamon,
171,baraou-no-souretsu,
172,barbarian-quest,
173,bartender-kami-no-glass,
174,bastard-ankoku-no-hakai-shin,
175,batard,
176,batman,
177,battle-game-in-5-seconds,
178,battle-royale,
179,battle-through-the-heavens,
180,be-a-princess-someday,
181,be-blues,
182,beast-tamer,
183,beastars,
184,beautiful-bones,
185,beck,
186,becoming-the-swordmaster-of-the-sichuan-tang-clan,
187,beelzebub,
188,belladonna-of-sadness,
189,belle,
190,ben-10,
191,berserk,
192,berserk-of-gluttony,
193,bestiarius,
194,betrothed-to-my-sisters-ex,
195,beyond-the-boundary,
196,biidama-no-tsuki,
197,billy-bat,
198,birdie-wing,
199,black-bullet,
200,black-butler,
201,black-cat,
202,black-clover,
203,black-lagoon,
204,black-rock-shooter,
205,black-summoner,
206,black-torch,
207,blade-of-retribution,
208,blade-of-the-immortal,
209,bleach,
210,blend-s,
211,blood-c,
212,blood-lad,
214,bloodhounds-regression-instinct,
216,bloom-into-you,
220,blue-eye-samurai,
230,bojack-horseman,
236,bonne-nuit-punpun,
244,bowblade-spirit,
245,boys-abyss,
246,brand-new-animal,
247,brave-10,
248,brave-story,
249,breakers,
250,btooom  ,
251,bubble,
252,bucchigire,
253,bucchigiri,
254,bucket-list-of-the-dead,
255,buddy-daddies,
256,build-divide,
257,bukiyou-na-senpai,
258,bulletbullet,
259,bungou-stray-dogs,
260,bungou-to-alchemist,
261,bureau-of-paranormal-investigation,
262,burn-the-witch,
263,busou-shoujo-machiavellism,
264,busu-ni-hanataba-wo,
265,by-the-grace-of-the-gods,
266,bye-bye-earth,
267,campione,
268,can-a-boy-girl-friendship-survive,
269,canaan,
270,candy-candy,
271,cannon-busters,
272,captain-tsubasa,
273,card-captor-sakura,
274,carole-tuesday,
275,castle,
276,castlevania,
277,catastrophic-necromancer,
278,catastrophic-priest,
279,cats-eye,
280,cautious-hero,
281,centuria,
282,chaika-the-coffin-princess,
283,chain-chronicle,
284,chainsaw-man,
285,champignon-witch,
286,change-moi,
287,chanto-suenai-kyuuketsukichan,
288,charlotte,
289,cheat-skill-level-up,
290,cheeky-love,
291,cherry-magic,
292,chi-no-yume,
293,chibi-revengers,
294,chihayafuru,
295,child-of-the-sheath,
296,childhood-friend-of-the-zenith,
297,chillin-in-another-world-with-level-2-super-cheat-powers,
298,chillin-in-my-30s-after-getting-fired-from-the-demon-kings-army,
299,chobits,
300,chocolat-et-vanilla,
301,chou-kaguya-hime,
302,choujin-x,
303,chronicles-of-heavenly-demon,
304,chronicles-of-the-demon-faction,
305,chronicles-of-the-lazy-sovereign,
306,chubby-love-and-mistakes,
307,cigarette-and-cherry,
308,citrus,
309,city-hall,
310,city-hunter,
311,city-the-animation,
312,clannad,
313,class-no-daikirai-na-joshi-to-kekkon-suru-koto-ni-natta,
314,classroom-for-heroes,
315,classroom-of-the-elite,
316,claymore,
317,clean-freak-aoyama-kun,
318,clevatess,
319,clockwork-planet,
320,clover,
321,code-adam,
322,code-breaker,
323,code-geass,
324,colorful,
325,colorful-stage-the-movie-a-miku-who-cant-sing,
326,comic-girl,
327,conquering-the-academy-with-just-a-sashimi-knife,
328,coppelion,
329,coq-de-combat,
330,coraline,
331,corpse-party,
332,cowboy-bebop,
333,craque-pour-moi-medaka,
334,criminelles-fiancailles,
335,crimson-wolf,
336,cross-ange,
337,cue,
338,cyberpunk-edgerunners,
339,d-frag,
340,d-gray-man,
341,d4dj-first-mix,
342,dad-is-a-hero-mom-is-a-spirit-im-a-reincarnator,
343,dagashi-kashi,
344,dahliya-artisane-magicienne,
345,dai-dark,
346,dakaichi-my-number-1,
347,damn-reincarnation,
348,dance-dance-danseur,
349,dandadan,
350,danganronpa,
351,danmachi,
352,danny-phantom,
353,danshi-koukousei-no-nichijou,
354,dao-of-the-bizarre-immortal,
355,dark-gathering,
356,dark-moon,
357,dark-mortal,
358,darker-than-black,
359,darling-in-the-franxx,
360,darwins-game,
361,darwins-incident,
362,date-a-live,
363,days,
364,dead-account,
365,dead-cells,
366,dead-dead-demons-dededededestruction,
367,dead-mount-death-play,
368,deadman-wonderland,
369,deaimon,
370,death-march,
371,death-note,
372,death-parade,
373,deca-dence,
374,dekin-no-mogura,
375,dekiru-neko-wa-kyou-mo-yuuutsu,
376,delicos-nursery,
377,demon-evolution,
378,demon-lord-and-one-room-hero,
379,demon-lord-retry,
380,demon-slave,
381,demon-slayer,
382,denjin-n,
383,denkigai-no-honya-san,
384,densetsu-no-yuusha-no-densetsu,
385,detective-conan,
386,devil-may-cry,
387,devilman-crybaby,
388,devils-line,
389,diabolik-lovers,
390,dickinson,
391,dies-irae,
392,digimon,
393,dimension-w,
394,disney-twisted-wonderland,
395,do-it-yourself,
396,dolly-kill-kill,
397,domestic-girlfriend,
398,doom-breaker,
399,dorohedoro,
400,dororo,
401,doukyuusei,
402,douse-koi-shite-shimaunda,
403,dr-stone,
404,dragon-ball,
405,dragon-ball-daima,
406,dragon-ball-gt,
407,dragon-ball-super,
408,dragon-ball-z,
409,dragon-devouring-mage,
410,dragon-ie-wo-kau,
414,drcl-midnight-children,
417,drug-eating-genius-mage,
419,duke-pendragon,
423,dungeon-house,
425,dungeon-odyssey,
427,dungeon-reset,
428,dungeons-artifacts,
431,ecrire-pour-exister,
441,engage-kiss,
442,erased,
443,ergo-proxy,
444,eris-no-seihai,
445,eromanga-sensei,
446,escape-room,
447,estio,
448,eternally-regressing-knight,
449,evangelion,
450,everyone-loves-her,
451,evil-heroes,
452,excel-saga,
453,existence,
454,extracurricular,
455,extraordinary-you,
456,eyeshield-21,
457,failure-frame,
458,failure-skill-nut-master,
459,fairies-album,
460,fairy-tail,
461,fallen-angels,
462,falling-into-your-smile,
463,family-business,
464,fantasy-bishoujo-juniku-oji-san-to,
465,farmagia,
466,farming-life-in-another-world,
467,fate,
468,fated-to-be-loved-by-villains,
469,fena-pirate-princess,
470,fermat-kitchen,
471,fff-class-trashero,
472,final-space,
473,fire-force,
474,fire-punch,
475,firefighter-daigo-rescuer-in-orange,
476,fireworks,
477,flcl,
478,flip-flappers,
479,flower-and-asura,
480,fluffy-paradise,
481,fog-of-five-elements,
482,food-court-de-mata-ashita,
483,food-for-the-soul,
484,food-wars,
485,fool-night,
486,foot-2-rue,
487,forced-to-become-the-villainous-son-in-law,
488,four-knights-of-the-apocalypse,
489,free,
490,frieren,
491,from-goblin-to-goblin-god,
492,from-the-new-world,
493,frozen-warrior,
494,fruits-basket,
495,fuguushoku-kanteishi-ga-jitsu-wa-saikyou-datta,
496,fujimoto-tatsuki-1726,
497,fukigen-na-mononokean,
498,full-dive,
499,full-time-awakening,
500,fullmetal-alchemist,
501,fullmetal-alchemist-brotherhood,
502,futari-solo-camp,
503,futsal-boys,
504,futurama,
505,fuuka,
506,fuuto-tantei,
507,gabriel-dropout,
508,gachiakuta,
509,gakuen-babysitters,
510,gakusen-toshi-asterisk,
511,galactik-football,
512,galaxy-express-999,
513,gamaran,
514,gamaran-le-tournoi-ultime,
515,gambling-school,
516,game-center-ibunka-kouryuu,
517,gamers,
518,ganbare-douki-chan,
519,gangsta,
520,gantz,
521,garouden,
522,gate,
523,gekkan-mousou-kagaku,
524,gekkan-shoujo-nozaki-kun,
525,genesis,
526,genius-archers-streaming,
527,genius-prismatic-mage,
528,genjitsu-no-yohane,
