commit	date	subject
7e97f53f022bf1a385edde66a74b1550b0dc3b14	2026-04-06 17:08:07 +0400	update
5cf6eb9ccbeca4fd91cdffd116a8bb755c0710bd	2026-04-06 17:02:39 +0400	update
cf5e25639255493b44c93c605cb17000fbb92204	2026-04-06 16:29:25 +0400	update
1dd9f5492a2db16831bf19e917154c967c8c15b8	2026-04-06 16:13:02 +0400	update
e493dcf7944534926b19a5d48df8059689a3c390	2026-04-06 11:35:21 +0400	update
cd7f025d2b5443a00c1edff646119c80c27868e3	2026-04-06 11:26:49 +0400	update search
837c2dd3faba76e03e7307f07817c2ba756b3c34	2026-04-05 15:17:15 +0000	Automated TMDB data update
3ea690a0ede2eb722e41360b613b7632f01f46e8	2026-04-04 21:02:50 +0400	search results bug fix
cf7b8178150b6d33a1b6028355ed0502929361a4	2026-04-04 20:55:41 +0400	fix search
efee95dd698ebe197e642edae37e4fd9a8604fc8	2026-04-04 20:42:49 +0400	fix search bug
971e714e836eef1c4d0abe540e50980b14d74a9c	2026-04-04 15:16:32 +0000	Automated TMDB data update
180951a5edd91ef68f3af69517e5967512bf7b9b	2026-04-04 18:52:57 +0400	fix search bug
68ba54250f1fa6aadc9bc9196fa93f75233d20b2	2026-04-03 15:23:31 +0000	Automated TMDB data update
464a01a659b2f6f46b5dd56cb1511ced6e0a6fff	2026-04-02 15:31:18 +0000	Automated TMDB data update
a12721b19dc7155b1b6ec000b829e12a720ef111	2026-04-01 15:39:02 +0000	Automated TMDB data update
4310b67ceaf2fde326180c30cbe2bd020e01cfcf	2026-03-31 23:17:00 +0400	new update
119ad1a38dc4dd96ae6f96b86ada191122b0a2fd	2026-03-31 15:36:50 +0000	Automated TMDB data update
da8c00247f0f19032a4f591a92e5f177d3068776	2026-03-30 15:39:56 +0000	Automated TMDB data update
888c98853ae663f27e980462935f7569f40845d8	2026-03-29 15:16:55 +0000	Automated TMDB data update
62ceb5b3043b4721e31b528c6b48f2c336423b52	2026-03-28 15:16:03 +0000	Automated TMDB data update
10ba92705327cb137739b2b48c43410cf84e5f83	2026-03-27 15:27:17 +0000	Automated TMDB data update
aa4478f0e5432687f193188e7e03019f29b0e2bb	2026-03-27 10:13:04 +0000	Automated TMDB data update
4862b54575e57541f1d5bfe4e40c11efc08643a9	2026-03-27 14:06:21 +0400	fix bollywood bug
992997c161f8f03db1ca6fb06c610446cbc90941	2026-03-23 20:00:57 +0400	update
72712ea551c5d5e71acea33c77e78f677548acdb	2026-03-23 15:31:52 +0000	Automated TMDB data update
b920bf68c4ce570949bb2e020286bc360de7ddb9	2026-03-22 15:13:43 +0000	Automated TMDB data update
241d498d59e9dc9c9a8bcd6c46ff0b63130a8685	2026-03-21 15:13:54 +0000	Automated TMDB data update
4f8c171ff436b68d44795cccf9cc9fba0c80e203	2026-03-21 08:12:20 +0000	Automated TMDB data update
93c3814e2940d85ea2de7fa405539de8e4036a52	2026-03-21 12:08:17 +0400	new bolywood from einthusan
